size,time_ns,operations
100,4130,10037
200,15368,40085
300,33633,90140
400,67921,160190
500,95924,250238
600,175507,360291
700,300736,490332
800,240267,640392
900,287903,810434
1000,354788,1000477
1100,428018,1210521
1200,508878,1440556
1300,596441,1690598
1400,691266,1960651
1500,792471,2250710
1600,902808,2560761
1700,1028434,2890805
1800,1141782,3240866
1900,1267213,3610915
2000,1409909,4000984
2100,2268387,4411036
2200,2613153,4841089
2300,2949760,5291143
2400,3026540,5761205
2500,2188567,6251254
2600,2365032,6761313
2700,2549803,7291368
2800,2743745,7841422
2900,2940712,8411471
3000,3147826,9001522
3100,3357605,9611553
3200,3578929,10241616
3300,3805018,10891673
3400,4035865,11561736
3500,4279832,12251790
3600,5781846,12961826
3700,7306783,13691885
3800,6830087,14441941
3900,6078923,15211990
4000,5583230,16002037
4100,5865709,16812092
