size,time_ns,operations
100,1580,404
200,1680,804
300,2501,1204
400,1672,1604
500,2270,2004
600,2566,2404
700,2737,2804
800,3129,3204
900,3225,3604
1000,3575,4004
1100,3876,4404
1200,4085,4804
1300,4417,5204
1400,4666,5604
1500,5015,6004
1600,5709,6404
1700,5356,6804
1800,5582,7204
1900,5866,7604
2000,6076,8004
2100,6294,8404
2200,6770,8804
2300,6879,9204
2400,7656,9604
2500,7363,10004
2600,7735,10404
2700,7914,10804
2800,8180,11204
2900,8337,11604
3000,9083,12004
3100,8891,12404
3200,9302,12804
3300,9446,13204
3400,9725,13604
3500,10074,14004
3600,10389,14404
3700,10668,14804
3800,10912,15204
3900,11283,15604
4000,12048,16004
4100,11764,16404
