size,time_ns,operations
100,1467,404
200,1611,804
300,1773,1204
400,2034,1604
500,2954,2004
600,3293,2404
700,3833,2804
800,4203,3204
900,3478,3604
1000,3519,4004
1100,3756,4404
1200,4168,4804
1300,4702,5204
1400,5427,5604
1500,5019,6004
1600,5207,6404
1700,5380,6804
1800,5792,7204
1900,6111,7604
2000,6164,8004
2100,6412,8404
2200,6638,8804
2300,6857,9204
2400,7149,9604
2500,7573,10004
2600,7601,10404
2700,7922,10804
2800,8285,11204
2900,8310,11604
3000,8681,12004
3100,8960,12404
3200,9119,12804
3300,9229,13204
3400,9353,13604
3500,9790,14004
3600,10144,14404
3700,10322,14804
3800,10702,15204
3900,11087,15604
4000,11629,16004
4100,11889,16404
