size,time_ns,operations
100,1597,404
200,1619,804
300,3579,1204
400,3644,1604
500,3514,2004
600,8189,2404
700,8817,2804
800,8267,3204
900,8446,3604
1000,8533,4004
1100,8485,4404
1200,8424,4804
1300,9289,5204
1400,8691,5604
1500,8821,6004
1600,9061,6404
1700,9223,6804
1800,9184,7204
1900,9214,7604
2000,8263,8004
2100,9210,8404
2200,9271,8804
2300,9415,9204
2400,9515,9604
2500,9563,10004
2600,9743,10404
2700,9712,10804
2800,9961,11204
2900,9978,11604
3000,10428,12004
3100,10236,12404
3200,10284,12804
3300,10345,13204
3400,10227,13604
3500,11279,14004
3600,10934,14404
3700,10808,14804
3800,10917,15204
3900,11362,15604
4000,11139,16004
4100,11380,16404
