size,time_ns,operations
100,1416,2421
200,3589,5531
300,5548,9009
400,8209,12779
500,11733,16485
600,15838,20379
700,21656,24453
800,27645,28587
900,34676,32705
1000,42532,36867
1100,49155,41217
1200,57952,45463
1300,65514,50017
1400,71664,54499
1500,78498,58865
1600,85108,63363
1700,161765,67869
1800,102714,72475
1900,106514,77025
2000,116443,81799
2100,128049,86385
2200,129765,91379
2300,133640,96013
2400,145396,100727
2500,158612,105497
2600,172537,110435
2700,180924,115369
2800,190440,120179
2900,198147,124861
3000,192969,129883
3100,187232,134861
3200,193460,139683
3300,199678,144501
3400,207439,149331
3500,213385,154213
3600,221201,159295
3700,228154,164385
3800,235673,169247
3900,242836,174229
4000,248629,179327
4100,256775,184277
