size,time_ns,operations
100,4840,404
200,5603,804
300,5620,1204
400,6010,1604
500,5522,2004
600,6008,2404
700,5943,2804
800,6939,3204
900,6565,3604
1000,7648,4004
1100,6953,4404
1200,7362,4804
1300,7427,5204
1400,7379,5604
1500,7944,6004
1600,8246,6404
1700,8366,6804
1800,8813,7204
1900,9522,7604
2000,9803,8004
2100,9748,8404
2200,10059,8804
2300,10290,9204
2400,10690,9604
2500,10668,10004
2600,10448,10404
2700,10492,10804
2800,11216,11204
2900,10948,11604
3000,11006,12004
3100,11173,12404
3200,11189,12804
3300,11674,13204
3400,11395,13604
3500,11718,14004
3600,11642,14404
3700,12050,14804
3800,11932,15204
3900,12081,15604
4000,12003,16004
4100,12179,16404
